connector_id,node_id,type,x,y,z,roi,confidence
0,2774,pre,217.51435816982314,68.57320768929621,99.10489744685705,SLP(R),0.987
1,2781,pre,217.39538731669364,68.79644717640488,98.86711805349884,SLP(R),0.998
2,2774,pre,217.39704645438024,68.43483715554856,98.86915334966025,SLP(R),0.99
3,2774,post,217.49049687743656,68.36277000909524,99.09975832746635,SLP(R),0.997922
4,5442,pre,213.96993597243704,122.09989537641911,135.3572658869413,PLP(R),0.985
5,5480,pre,211.87327635871054,119.79019135737516,138.03651087167884,PLP(R),0.995
6,2958,pre,233.92264686925733,73.2668015483779,116.92907833333253,SCL(R),0.999
7,2804,pre,223.0535102725001,71.91445471065316,107.34640497936999,SCL(R),0.989
8,2739,pre,219.69357734996566,69.55781793514487,105.61706393966494,SLP(R),0.99
9,2805,pre,224.247542369849,72.21381384070247,107.20459373506033,SCL(R),0.995
10,2806,pre,224.64361068120348,72.35322662910731,107.62347985780886,SCL(R),0.991
11,2840,pre,225.53284553258823,70.24222336687937,107.49025410854458,SCL(R),0.984
12,2830,pre,225.44148058136813,70.33058983365054,107.8490239449282,SCL(R),0.997
13,2805,pre,223.8895732189469,72.1199342832922,107.14223351520906,SCL(R),0.949
14,2805,pre,224.3464677231896,72.43888147615431,107.53717256390546,SCL(R),0.993
15,2804,pre,223.5525408681508,71.99513786049162,106.90069177354397,SCL(R),0.992
16,2804,pre,223.76187827239747,71.90081296135185,107.37157638346243,SCL(R),0.991
17,2803,pre,223.031857486915,71.55372545434398,106.96322601401495,SCL(R),0.994
18,2721,pre,224.69952415136856,71.28265098176726,109.71856425279381,SCL(R),0.978
19,2811,pre,224.00520735899238,71.17800645765027,108.84625615016412,SCL(R),0.972
20,2857,pre,223.75106565289306,71.0869273967348,108.84192114888702,SCL(R),0.951
21,2720,pre,225.42803829066364,71.54144830798057,110.30474847302965,SCL(R),0.984
22,2914,pre,230.69499340196063,74.42053360572831,113.27467432781029,SCL(R),0.991
23,2916,pre,230.81037490995266,74.0700002911231,113.60575899069688,SCL(R),0.988
24,2875,pre,229.73810423694948,74.81164823835681,111.98698104690135,SCL(R),0.993
25,2708,post,228.53765559325424,72.72530372181018,113.58749571583354,SCL(R),0.999
26,2937,pre,226.5389464593713,74.29447366118784,115.55960051216744,SCL(R),0.975
27,2940,pre,224.8639497064658,74.4134347111355,115.55746876593633,SCL(R),0.976
28,2959,pre,233.8965394453143,73.77808167770979,116.92339438726623,SCL(R),0.993
29,2959,pre,233.6304849888102,73.6527874585172,117.12463015196577,SCL(R),0.973
30,2958,pre,233.6262112172244,73.30180281388976,116.78190732676018,SCL(R),0.935
31,2994,pre,234.21014495601852,75.00126118837184,120.27943402560177,SCL(R),0.985
32,6810,pre,239.0193863553316,109.64321969346955,142.02826585328057,ICL(R),0.985
33,3404,pre,231.87931698940127,75.74070446054844,121.58742931940854,SCL(R),0.975
34,3413,pre,229.3800570030006,76.1957701472401,121.51872146883309,SCL(R),0.985
35,2193,pre,235.25619616763856,78.13353405148399,123.21888028361185,SCL(R),0.934
36,2174,pre,234.81908067615885,77.92257598095273,122.78056094436195,SCL(R),0.99
37,2185,pre,234.34157957773903,77.50167116766859,123.07287896563176,SCL(R),0.993
38,2174,pre,234.5413723001726,78.27875873843286,122.59231507610605,SCL(R),0.995
39,2173,pre,234.90059101871182,78.3236297497404,122.83936399563194,SCL(R),0.995
40,2173,pre,234.72252584995715,78.47957976043192,122.74682616864271,SCL(R),0.992
41,2174,pre,234.53589931555808,77.7916924630938,123.146171298137,SCL(R),0.983
42,1696,pre,235.4297757608866,99.67148967355416,138.41823536896112,ICL(R),0.993
43,2039,pre,238.64600504183028,90.96384849761355,132.2879631730255,SCL(R),0.866
44,1400,pre,216.22221049135163,107.42445607011445,140.0104437829597,PLP(R),1.0
45,7494,pre,220.64051726475572,107.80643565362814,136.19825592587264,PLP(R),0.985
46,2153,pre,237.8873507468803,80.38533950307462,126.87857011218628,SCL(R),0.993
47,1738,pre,236.7437067197592,96.04291064871475,136.30319711690595,ICL(R),0.99
48,1738,pre,237.0646076576574,96.08612937466296,136.30527911771662,ICL(R),0.994
49,7400,pre,231.08680973278518,109.60312481576102,142.26406417924125,ICL(R),0.98
50,7330,pre,230.66513004117868,109.6319936399297,142.2124374105208,ICL(R),0.974
51,2212,pre,237.26605048860677,76.76291466798885,123.99982319391935,SCL(R),0.997
52,7486,post,221.31577334668526,108.5042526884508,136.6205140320916,PLP(R),0.913
53,2219,pre,237.3213053884516,76.6691331055359,124.47847641013237,SCL(R),0.99
54,2219,pre,237.6695046893875,76.1791360846124,124.26312442093132,SCL(R),0.976
55,2219,pre,237.4330476330498,76.15485207351446,124.40319375992374,SCL(R),0.981
56,2220,pre,237.67251221206067,76.1699374589588,124.60882927475564,SCL(R),0.985
57,2228,pre,239.0241180738149,77.14956648844868,125.62811901252262,SCL(R),0.987
58,2229,pre,238.87524068616236,77.30295745954156,126.11625283982718,SCL(R),0.992
59,2240,pre,239.12296895171306,76.84753494428135,125.78615027673075,SCL(R),0.969
60,2265,pre,232.93814435453868,78.07369926079565,126.6087605566361,SCL(R),0.996
61,2266,pre,233.18828616778217,77.4890334938973,126.71362116740951,SCL(R),0.996
62,2278,pre,229.5800001688683,79.71012142315438,127.8561982498375,SCL(R),0.99
63,2280,pre,229.90597348118246,80.00339742059484,127.49953963287032,SCL(R),0.983
64,6560,pre,254.2110070172442,83.5512510210038,135.59447089259805,ICL(R),0.948
65,2283,pre,229.1007751818644,80.31235300848948,128.11628341180335,SCL(R),0.987
66,7459,pre,224.223268977768,107.51417977060927,139.68477818070522,PLP(R),0.98
67,2049,post,238.5868762711747,88.3182203232746,131.45240328026728,SCL(R),0.430297
68,7323,post,232.5548254011135,108.47121945746363,142.70446814446274,ICL(R),0.46457815
69,7454,post,224.0048544530685,108.38115279999421,140.75459030566708,PLP(R),0.644718
70,7298,post,236.29847889973382,104.52670790210891,142.086655189302,ICL(R),0.651759
71,7212,post,244.53433469999868,104.15459447477073,143.65735078532555,ICL(R),0.656546
72,7212,post,244.3572515261773,104.17745833351046,143.629400774634,ICL(R),0.994038
73,1599,pre,225.27786501565816,102.60069328911774,141.48208629846928,ICL(R),0.987
74,1470,pre,221.83469670167614,103.83207118431469,144.06488664769904,ICL(R),0.986
75,1359,pre,216.54731819808796,107.04024194004118,139.5285346154923,PLP(R),0.988
76,1355,pre,215.90159818786955,107.02253676851002,140.54808388473668,PLP(R),0.991
77,1359,pre,216.17011338416273,106.49053880494697,139.50757413251986,PLP(R),0.976
78,7577,pre,219.124001731891,110.99682128150039,145.84814503101518,PLP(R),0.992
79,7579,pre,218.32674247124675,110.84159742244724,145.7647688762213,PLP(R),0.997
80,7565,pre,218.3163452776514,110.52053428079324,145.8533616316788,PLP(R),0.975
81,7330,pre,231.00108765682535,109.36313606691496,141.91292068591446,ICL(R),0.993
82,7238,pre,240.34398180791646,104.13481005308532,141.60524160954964,ICL(R),0.984
83,7335,pre,229.948502635826,110.00263087893721,140.98441442487143,ICL(R),0.993
84,7344,pre,228.85785745662133,109.21304473514802,139.47472446951159,PLP(R),0.98
85,7344,pre,228.63056065276265,109.37154476312043,139.52913935942976,PLP(R),0.964
86,2038,pre,238.14030939850397,91.57366825326537,132.32742651039356,ICL(R),0.996
87,1601,post,225.931460192058,103.01088361990645,141.3946700969498,ICL(R),0.646806
88,1489,post,223.3519957850192,103.18252346542002,144.23374622353663,ICL(R),0.47650427
89,7075,pre,235.02933760671908,107.19309939835395,145.70548382362597,ICL(R),0.989
90,7075,pre,235.14453795302074,107.34886257757145,145.88614665921529,ICL(R),0.977
91,1772,pre,236.7985412886316,95.3568706320753,135.717271145001,ICL(R),0.974
92,5071,post,192.13765367605427,97.60601529109631,151.41909707017743,PLP(R),0.319747
93,2089,pre,238.9350047663868,80.03439973038482,131.97252786710408,SCL(R),0.978
94,2093,pre,238.88684914140288,79.94477770981297,132.11063047710127,SCL(R),0.979
95,2090,pre,239.453681570747,80.28170852822214,132.22795197647196,SCL(R),0.99
96,2921,pre,229.14325736098425,72.02978252088263,113.83775835178807,SCL(R),0.976
97,1874,pre,238.80965050185443,72.74554507322237,129.37341070339443,SCL(R),0.985
98,7395,pre,229.13678158865207,109.48325769848977,139.62781630867855,PLP(R),0.997
99,4360,pre,219.10002268172872,81.58306190212352,135.07231379382782,SCL(R),0.99
100,4395,pre,215.96897421748096,80.77587965689216,135.74867797442857,SCL(R),0.979
101,4353,pre,215.98109262344013,79.96859824817533,135.6543349748053,SCL(R),0.986
102,3033,post,234.83780466123298,69.27777610902021,120.20624723402753,SCL(R),0.809635
103,3032,post,234.7325625850949,69.56799542410188,120.36393389658977,SCL(R),0.498
104,4502,post,226.35418841999524,80.45690454965668,136.15286864812236,SCL(R),0.995172
105,5076,post,192.50508611455962,99.37696922134265,151.67534288686767,PLP(R),0.474901
106,8015,pre,261.31030199700746,100.10346133747257,145.16650153729745,ICL(R),0.876
107,8023,pre,261.11202529004527,100.06405589182214,145.0058739689951,ICL(R),0.986
108,3928,post,239.3554559056866,79.14369496802507,138.50997454197238,SCL(R),0.756348
109,2514,pre,206.35397749351606,80.4727396651593,143.8140867075487,SCL(R),0.945
110,5023,pre,196.0109012440979,80.49804360877427,149.1227734663028,SCL(R),0.955
111,9029,post,185.58602654062378,85.94216681901564,149.8617226049237,PLP(R),0.928702
112,7735,post,248.3891726730913,104.9331675160869,145.70344842551475,ICL(R),0.376
113,2771,pre,216.80587230772454,67.65215588199915,99.12624137066484,SLP(R),0.987
114,2798,pre,216.4046842721469,67.54849589197528,99.3137947463146,SLP(R),0.993
115,2798,pre,216.8537614418882,67.42430180980844,99.4276613742709,SLP(R),0.986
116,2770,pre,216.35120087535591,67.70399532831385,99.75572309160466,SLP(R),0.992
117,2769,pre,216.31072879734552,67.50561579035856,99.68327386947655,SLP(R),0.991
118,7496,pre,220.36526774329155,107.80406698296024,136.1538702631482,PLP(R),0.996
119,1357,pre,216.09624883756135,106.85857459325658,140.27641643187673,PLP(R),0.992
120,2739,pre,219.57509021955912,69.24998024813526,105.58473422250985,SLP(R),0.99
121,2831,pre,225.8425491951065,70.20014908261727,107.83166244520962,SCL(R),0.995
122,2818,pre,224.4753851974117,69.69793985596164,107.20198780546185,SCL(R),0.995
123,2819,pre,224.43258304939403,69.54251748518686,106.66341265782387,SCL(R),0.998
124,2818,pre,224.96914122749854,69.5088598460803,107.1219874242976,SCL(R),0.988
125,2922,pre,229.12715242120146,71.77755079930905,114.15516826463411,SCL(R),0.952
126,2925,pre,230.18195058771065,72.43217259176639,115.87971063458824,SCL(R),0.98
127,2693,pre,233.67713763134603,72.99022022048332,117.84123274527659,SCL(R),0.998
128,2983,pre,233.6218151078665,72.57948984957403,118.27712978852921,SCL(R),0.972
129,3227,pre,232.21407398880012,71.84084397615239,118.17457860514142,SCL(R),0.933
130,2691,pre,234.03487091017473,72.90877302162845,118.69399749765245,SCL(R),0.993
131,2690,pre,234.44092078940622,72.93265438576165,119.17901802859203,SCL(R),0.996
132,2984,pre,234.02949730323314,72.65018431200781,118.72091134570063,SCL(R),0.863
133,2689,pre,234.5010792543419,72.56067870526847,118.92681264598164,SCL(R),0.993
134,3006,pre,234.54193891152687,72.48773925522774,119.45693793870723,SCL(R),0.995
135,2689,pre,234.38009632477832,72.29842026934726,119.04459333089997,SCL(R),0.993
136,2688,pre,234.37355622693283,72.00561937316618,119.16648292882655,SCL(R),0.982
137,2682,pre,235.26884338643686,71.25122175943142,120.6603657801412,SCL(R),0.991
138,3335,pre,227.88418094427453,73.76114232234082,127.34964567198116,SCL(R),0.987
139,8381,pre,175.00840881632524,104.39379798988196,139.86049046980065,PLP(R),0.993
140,9324,pre,173.58751266050936,106.2592168292536,124.85717551249341,PLP(R),0.955
141,3335,post,228.1423646352211,73.98762647461697,127.69799478757872,SCL(R),0.898576
142,2229,post,238.78087193662054,77.65441376019683,125.98295715355381,SCL(R),0.850306
143,1521,pre,231.6560022084908,101.41106378023727,144.52107031173887,ICL(R),0.991
144,1875,pre,238.98748860529977,72.06811083072236,129.42103918212206,SCL(R),0.989
145,7202,pre,246.10976079818593,102.60222902005049,144.08900409072,ICL(R),0.902
146,7308,pre,234.94266246348164,107.28078574595176,144.29945244953961,ICL(R),0.975
147,1851,pre,237.90373919047647,76.33280329106152,132.30579722468528,SCL(R),0.993
148,1852,pre,237.71141798510374,76.2592904214681,132.1211318341142,SCL(R),0.986
149,1851,pre,237.37578965121324,76.44696543270194,132.28806232307306,SCL(R),0.968
150,908,post,233.93510386417188,97.60644178645967,138.73835389383163,ICL(R),0.883999
151,4517,post,229.88888159521707,80.3773295211991,134.79578233624537,SCL(R),0.613666
152,4335,post,212.40751922336563,75.87276989193745,136.57852053259955,SCL(R),0.895
153,7628,pre,237.96383749428452,106.83379409967282,146.4589108534541,ICL(R),0.989
154,1792,pre,236.69998941998102,88.09386870511244,134.6693540130683,SCL(R),0.979
155,1791,pre,236.58717703961497,88.53610874054145,134.54156554791638,SCL(R),0.991
156,1995,pre,237.27610726738052,87.70810182006923,134.9363983587558,SCL(R),0.983
157,5765,pre,216.7909325108057,116.22743781841092,149.41173363530723,PLP(R),0.981
158,1874,post,239.21289432408346,72.21406187815262,129.4368524230848,SCL(R),0.76039
159,4701,pre,224.08717509099137,78.74774743660373,137.55271515684765,SCL(R),0.983
160,1253,pre,209.12666621376422,101.3434678901506,142.203469847363,PLP(R),0.991
161,3915,post,241.76842408373795,76.86551666150662,136.51775865382203,SCL(R),0.995061
162,2586,post,231.27825055073646,68.62428950557516,135.24832721469735,SCL(R),0.992305
163,4479,post,221.18791870337944,78.75145143347065,139.8152429288118,SCL(R),0.880332
164,4477,post,220.42469979019899,79.12530603019056,140.09376386633056,SCL(R),0.994993
165,6679,post,229.2362375622969,104.62825284160866,147.97841754766569,ICL(R),0.46348584
166,6476,post,249.3188691499111,86.70830809745794,142.0821317100539,ICL(R),0.949499
167,5210,post,218.37366984079154,131.12321019358612,149.42574428436495,PLP(R),0.72779
168,2740,post,219.4630465866235,69.1117603143105,104.75664849563623,SLP(R),0.956289
169,3475,post,231.3766624443487,70.40632937673188,136.2790174900296,SCL(R),0.96832
170,6716,post,232.5389095260212,110.41269284282436,147.56212135008104,ICL(R),0.9419
171,3902,post,241.21614602718694,74.26660409628875,135.73876990803598,SCL(R),0.985345
172,5826,post,216.24195667904974,121.67507090187938,147.5945209972353,PLP(R),0.46605194
173,9588,post,211.32598964862063,119.2602289705494,150.04228685733477,PLP(R),0.987613
174,6510,post,255.43691910244277,86.87548915038705,139.87733102092506,ICL(R),0.4555834
175,5445,post,213.75328899269397,121.39323394053757,135.30036733883142,PLP(R),0.649657
176,5422,post,212.0233474312298,121.92777299811954,135.35422823523274,PLP(R),0.978603
